name,unity_price,suppliers_percentage,freight_percentage,amount_in_stock,is_active,created_at
Sauce - Plum,107.82,1.75,0.44,724,true,2021-03-01 22:23:50
Blueberries - Frozen,105.7,0.19,9.43,519,true,2020-09-25 20:31:14
Cinnamon Buns Sticky,140.46,3.18,7.59,652,false,2020-03-13 18:11:58
Cream - 10%,47.62,3.92,6.47,528,true,2021-09-24 00:31:31
Blueberries,27.1,2.55,2.17,427,true,2021-05-04 11:30:26
Raspberries - Frozen,142.14,4.99,9.63,886,true,2021-01-29 15:50:42
Bananas,199.38,6.35,7.32,321,false,2020-05-18 12:02:21
"Tortillas - Flour, 10",44.73,4.5,3.63,497,false,2021-10-13 00:57:49
Scrubbie - Scotchbrite Hand Pad,23.89,4.31,0.98,999,false,2020-04-03 11:44:49
Pasta - Cheese / Spinach Bauletti,60.77,8.07,6.18,810,true,2021-09-22 08:40:35
Wooden Mop Handle,180.4,7.86,0.12,638,true,2020-03-19 10:12:09
Bagelers - Cinn / Brown,112.22,0.45,0.81,499,true,2020-04-15 22:16:34
"Mushroom - Shitake, Fresh",73.52,7.88,5.69,718,false,2021-02-12 16:39:13
Water Chestnut - Canned,63.98,3.51,3.6,562,false,2021-07-22 21:21:59
"Crush - Grape, 355 Ml",36.7,7.64,4.23,514,false,2021-09-23 09:30:35
Ice Cream Bar - Hagen Daz,118.39,7.39,2.41,694,false,2020-08-06 07:42:05
"Crab - Blue, Frozen",164.99,3.05,6.85,617,false,2021-08-08 02:00:10
"Rum - Coconut, Malibu",135.55,7.89,4.69,462,true,2021-08-20 09:53:05
Basil - Pesto Sauce,132.55,0.08,1.35,511,false,2021-08-12 07:54:50
Irish Cream - Baileys,80.54,6.05,4.38,258,true,2020-07-23 13:22:23
Cheese - Valancey,176.42,9.81,9.75,370,true,2021-10-15 23:35:47
Lettuce - Arugula,69.43,8.05,0.38,580,true,2021-09-20 17:55:53
"Apple - Delicious, Red",82.29,1.28,3.52,359,false,2020-11-22 16:53:44
Cactus Pads,68.85,7.9,3.43,136,false,2021-03-21 17:10:20
Mushrooms - Honey,114.59,0.51,9.96,753,false,2021-06-27 10:57:06
Bread - Mini Hamburger Bun,96.71,9.42,4.99,398,true,2021-09-25 02:52:21
Salt - Kosher,72.08,5.17,2.02,616,true,2021-03-18 04:53:58
"Chicken - Wings, Tip Off",62.2,0.94,3.04,179,true,2021-10-07 13:39:11
"Lobster - Tail, 3 - 4 Oz",149.37,2.68,9.95,508,true,2020-09-24 16:13:25
Cucumber - Pickling Ontario,27.13,8.46,9.88,66,true,2020-11-16 16:15:44
Soup - Campbells Beef Noodle,22.59,9.6,7.63,604,true,2021-06-13 06:11:19
Bread - Hamburger Buns,62.15,7.39,0.56,773,false,2020-01-14 21:12:47
